accountsservice 26.27.3-1
acpi 1.8-2
acpid 2.0.34-2
adw-gtk-theme 6.5-1
amd-ucode 20260622-1
android-tools 37.0.0-1
base 3-3
base-devel 1-2
bat 0.26.1-2
bear 4.2.0-1
blueman 2.4.6-2
bluez 5.87-2
bluez-utils 5.87-2
brightnessctl 0.5.1-3
btop 1.4.7-1
cantarell-fonts 1:0.311-1
chntpw 140201-5
cliphist 1:0.7.0-2
discord 1:1.0.152-1
dnsmasq 2.93-1
dosfstools 4.2-5
dunst 1.13.2-1
efibootmgr 18-4
entr 5.8-1
ethtool 1:7.1-1
exfatprogs 1.4.2-1
eza 0.23.5-2
fastfetch 2.66.0-1
fd 10.4.2-2
feh 3.12.2-1
firefox 153.0.3-1
foliate 3.3.0-3
fzf 0.74.2-1
gimp 3.2.4-2
git 2.55.0-1
git-filter-repo 2.47.0-3
glfw 1:3.5.1-1
glm 1.0.3-1
gnome-keyring 1:50.0-1
gnu-free-fonts 20120503-9
gpu-screen-recorder 5.15.3-1
gpu-screen-recorder-ui 1.13.2-1
grim 1.5.0-2
grub 2:2.14-1
gvfs 1.60.2-1
gvfs-mtp 1.60.2-1
gvfs-smb 1.60.2-1
htop 3.5.2-1
hyprland 0.56.2-1
i3-wm 4.25.1-1
imagemagick 7.1.2.29-1
jre-openjdk 26.0.2.u10-1
kdeconnect 26.04.3-1
kitty 0.48.2-1
lazygit 0.64.0-1
less 1:704-1
linux 7.1.5.arch1-2
linux-firmware 20260622-1
linux-headers 7.1.5.arch1-2
mono 6.12.0.206-1
mpv 1:0.41.0-3
neovim 0.12.4-1
network-manager-applet 1.36.0-2
networkmanager 1.58.0-1
nm-connection-editor 1.36.0-2
nodejs 26.5.1-1
noto-fonts 1:2026.08.01-1
noto-fonts-emoji 1:2.051-1
npm 12.0.2-1
ntfs-3g 2026.7.7-1
nvidia-open 610.43.03-9
nvidia-settings 610.43.03-1
nvidia-utils 610.43.03-5
nvtop 3.3.2-1
nwg-displays 0.4.3-1
nwg-look 1.1.1-3
opencode 1.18.14-1
os-prober 1.84-1
otf-font-awesome 7.3.1-1
papirus-icon-theme 20260801-1
pavucontrol 1:6.2-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-audio 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
polkit-gnome 0.105-12
postgresql 18.4-3
powertop 2.15-2
python-matplotlib 3.11.1-1
python-numpy 2.5.1-1
python-pip 26.2.1-1
qt5-wayland 5.15.19+kde+r55-1
qt6-wayland 6.11.1-1
radeontop 1.4-3
ripgrep 15.2.0-1
rofi 2.0.0-1
rsync 3.4.4-1
sbctl 0.18-1
scrcpy 4.1-1
sdcc 4.6.0-1
sddm 0.21.0-7
slurp 1.5.0-2
smartmontools 7.5-1
sshfs 3.7.6-1
stow 2.4.1-1
strace 7.0-1
sudo 1.9.17.p2-6
sunshine 2026.516.143833-4
tailscale 1.98.10-1
tcpdump 4.99.6-1
texlive-basic 2026.1-1
texlive-bibtexextra 2026.1-1
texlive-binextra 2026.1-1
texlive-context 2026.1-1
texlive-fontsextra 2026.1-1
texlive-fontsrecommended 2026.1-1
texlive-fontutils 2026.1-1
texlive-formatsextra 2026.1-1
texlive-games 2026.1-1
texlive-humanities 2026.1-1
texlive-latex 2026.1-1
texlive-latexextra 2026.1-1
texlive-latexrecommended 2026.1-1
texlive-luatex 2026.1-1
texlive-mathscience 2026.1-1
texlive-metapost 2026.1-1
texlive-music 2026.1-1
texlive-pictures 2026.1-1
texlive-plaingeneric 2026.1-1
texlive-pstricks 2026.1-1
texlive-publishers 2026.1-1
texlive-xetex 2026.1-1
thunar 4.20.9-1
tlp 1.10.2-1
tmux 3.7_b-1
traceroute 2.1.6-1
tree-sitter-cli 0.26.9-1
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-firacode-nerd 3.5.0-1
ttf-liberation 2.1.5-2
ttf-nerd-fonts-symbols 3.4.0-1
ufw 0.36.2-7
unzip 6.0-23
uwsm 0.26.6-1
v4l2loopback-dkms 0.15.4-1
valgrind 3.25.1-7
valkey 9.1.1-1
vulkan-radeon 1:26.1.6-1
waybar 0.15.0-2
wayvnc 0.10.1-1
wev 1.1.0-1
wget 1.25.0-6
wine 11.14-2
wireplumber 0.5.15-1
wl-clipboard 1:2.3.0-1
wlr-randr 0.5.0-1
woff2-font-awesome 7.3.1-1
xdg-desktop-portal 1.22.1-2
xdg-desktop-portal-hyprland 1.4.1-1
xdg-desktop-portal-wlr 0.8.2-1
xf86-video-amdgpu 25.0.0-1
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
zip 3.0-13
zsh 5.9.2-1
